Date,Price,Open,High,Low,Vol.,Change %
"Jun 15, 2019",8869,8689,8904.1,8611,9.37K,2.07%
"Jun 14, 2019",8689.1,8230,8714.9,8163.3,12.71K,5.61%
"Jun 13, 2019",8227.4,8177.6,8333,8038.9,8.89K,0.64%
"Jun 12, 2019",8175.4,7903.1,8238.8,7822.3,9.14K,3.43%
"Jun 11, 2019",7904.1,8018.8,8048.9,7711.3,6.53K,-1.37%
"Jun 10, 2019",8013.7,7622.5,8046.3,7523.3,8.90K,4.90%
"Jun 09, 2019",7639.2,7924,7961,7502.5,6.83K,-3.60%
"Jun 08, 2019",7924.6,8002.1,8064.8,7802,4.77K,-0.84%
"Jun 07, 2019",7991.5,7816.9,8123.5,7769.1,13.44K,2.38%
"Jun 06, 2019",7805.6,7766.3,7870.6,7461,7.51K,0.21%
"Jun 05, 2019",7789.3,7692.8,7931,7603,10.83K,1.25%
"Jun 04, 2019",7692.8,8088,8088,7524.5,28.12K,-5.07%
"Jun 03, 2019",8103.4,8740.1,8740.1,8050.1,18.66K,-7.28%
"Jun 02, 2019",8740,8546.9,8818,8540,6.24K,2.26%
"Jun 01, 2019",8547,8531.9,8625,8452,5.46K,0.16%
"May 31, 2019",8533.3,8268.5,8550,8112.4,10.93K,3.18%
"May 30, 2019",8269.9,8681.2,9100,8019.7,20.29K,-4.73%
"May 29, 2019",8680.9,8738.1,8794.9,8490,10.30K,-0.69%
"May 28, 2019",8740.9,8806.1,8843.7,8558.3,11.14K,-0.74%
"May 27, 2019",8806,8730,8951,8661,17.56K,0.87%
"May 26, 2019",8729.9,8054.9,8820,7880.2,20.14K,8.38%
"May 25, 2019",8054.9,7990,8135,7950.4,4.34K,0.75%
"May 24, 2019",7994.9,7872.1,8158.6,7801.6,10.92K,1.56%
"May 23, 2019",7872.4,7619.9,7957.1,7496.3,10.55K,3.30%
"May 22, 2019",7621.1,7933.6,8030,7507.9,10.78K,-3.98%
"May 21, 2019",7937,7990.5,8089.9,7819.7,7.69K,-0.60%
"May 20, 2019",7985,8188.3,8188.3,7601,16.90K,-2.50%
"May 19, 2019",8189.5,7260.1,8263.2,7252,23.46K,12.80%
"May 18, 2019",7260,7418.3,7509.1,7210.6,9.32K,-2.10%
"May 17, 2019",7415.4,7857.5,7905.7,7067.4,29.02K,-5.62%
"May 16, 2019",7857,8135.5,8307.7,7750.1,22.29K,-3.39%
"May 15, 2019",8132.9,7951.9,8208.9,7837.6,19.04K,2.19%
